# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    9.679358717   -3.699973694   -3.699969769   -3.699980677
    9.739478958   -3.556095454   -3.556094782   -3.556099063
    9.799599198   -3.307924933   -3.307925197   -3.307927496
    9.859719439   -3.218903679   -3.218901547   -3.218908072
    9.919839679   -3.236351999   -3.236350398   -3.236356656
    9.979959920   -3.089055823   -3.089056935   -3.089058566
   10.040080160   -2.873443491   -2.873445324   -2.873445628
   10.100200401   -2.661144823   -2.661146642   -2.661146923
   10.160320641   -2.461297911   -2.461299639   -2.461300038
   10.220440882   -2.270499539   -2.270501233   -2.270501644
   10.280561122   -2.087359110   -2.087360749   -2.087361216
   10.340681363   -1.931289463   -1.931290898   -1.931291695
   10.400801603   -1.870748736   -1.870749924   -1.870751145
   10.460921844   -1.823054143   -1.823055873   -1.823056288
   10.521042084   -1.658549050   -1.658551551   -1.658550744
   10.581162325   -1.457425280   -1.457428970   -1.457426282
   10.641282565   -1.264216167   -1.264219409   -1.264217960
   10.701402806   -1.142643604   -1.142644685   -1.142648684
   10.761523046   -1.172444161   -1.172443924   -1.172450017
   10.821643287   -1.311454420   -1.311452497   -1.311461858
   10.881763527   -1.664969043   -1.664966002   -1.664978680
   10.941883768   -2.027931959   -2.027934286   -2.027935498
   11.002004008   -2.281530141   -2.281534642   -2.281529046
   11.062124248   -2.300747034   -2.300751383   -2.300743796
   11.122244489   -2.257261654   -2.257263835   -2.257260772
   11.182364729   -2.192929155   -2.192930090   -2.192930159
   11.242484970   -2.061515423   -2.061517001   -2.061517316
   11.302605210   -1.867283434   -1.867285531   -1.867285465
   11.362725451   -1.738140285   -1.738142767   -1.738141493
   11.422845691   -1.713622060   -1.713622960   -1.713624192
   11.482965932   -1.774103952   -1.774100381   -1.774110807
   11.543086172   -1.885553312   -1.885551194   -1.885557578
   11.603206413   -1.810983273   -1.810983748   -1.810983993
   11.663326653   -1.706044495   -1.706045332   -1.706044841
   11.723446894   -1.709736071   -1.709735974   -1.709737094
   11.783567134   -1.719401848   -1.719400563   -1.719404276
   11.843687375   -1.660893416   -1.660893764   -1.660894988
   11.903807615   -1.539961377   -1.539962771   -1.539962259
   11.963927856   -1.434396659   -1.434397331   -1.434398257
   12.024048096   -1.412128582   -1.412128553   -1.412131209
   12.084168337   -1.418123521   -1.418125348   -1.418125068
   12.144288577   -1.362646044   -1.362648355   -1.362647096
   12.204408818   -1.348343183   -1.348344388   -1.348344545
   12.264529058   -1.314546521   -1.314546433   -1.314548517
   12.324649299   -1.250940854   -1.250939135   -1.250944195
   12.384769539   -1.232047330   -1.232045820   -1.232049186
   12.444889780   -1.251574721   -1.251573463   -1.251575760
   12.505010020   -1.284392970   -1.284392412   -1.284393864
   12.565130261   -1.264342225   -1.264344247   -1.264341097
