# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    3.787575150   60.951587141   60.951463986   60.951636110
    3.847695391   40.639775495   40.639633070   40.639876448
    3.907815631   25.380178469   25.380105757   25.380229873
    3.967935872   17.806508627   17.806474188   17.806525584
    4.028056112   14.144966396   14.144928210   14.144988182
    4.088176353   11.333130882   11.333086932   11.333165759
    4.148296593    9.175858288    9.175834302    9.175879956
    4.208416834    8.061537011    8.061526907    8.061550032
    4.268537074    7.991694145    7.991694408    7.991702156
    4.328657315    9.029108646    9.029124836    9.029108610
    4.388777555   11.475757698   11.475794659   11.475749729
    4.448897796   15.592048149   15.592048560   15.592112483
    4.509018036   18.592769817   18.592687884   18.592932768
    4.569138277   17.697738283   17.697720002   17.697779105
    4.629258517   14.642130104   14.642106300   14.642152597
    4.689378758   13.071436782   13.071378464   13.071486127
    4.749498998   14.228075938   14.227975205   14.228166405
    4.809619238   16.949909431   16.949880510   16.949945340
    4.869739479   15.731459274   15.731556925   15.731388107
    4.929859719   14.529288872   14.529352324   14.529242747
    4.989979960   14.279640947   14.279636859   14.279655635
    5.050100200   13.340417757   13.340357330   13.340481993
    5.110220441   12.227349066   12.227312614   12.227373320
    5.170340681   10.943864449   10.943855016   10.943854941
    5.230460922   11.554556368   11.554540834   11.554545921
    5.290581162   15.495017464   15.494984630   15.495008361
    5.350701403   21.701314834   21.701271640   21.701320813
    5.410821643   23.919207006   23.919183746   23.919223343
    5.470941884   23.472560954   23.472574161   23.472546615
    5.531062124   21.198713140   21.198793360   21.198652079
    5.591182365   17.684070295   17.684133036   17.684030841
    5.651302605   15.389524624   15.389560276   15.389501527
    5.711422846   14.142725725   14.142736853   14.142704767
    5.771543086   13.465588560   13.465569637   13.465589929
    5.831663327   11.808456761   11.808455015   11.808468756
    5.891783567    9.657242903    9.657267816    9.657237666
    5.951903808    9.449141510    9.449158231    9.449136544
    6.012024048    9.584954010    9.584942771    9.584963253
    6.072144289    9.074964139    9.074930066    9.074983665
    6.132264529    9.050602989    9.050585240    9.050599012
    6.192384770    8.771724390    8.771733431    8.771719480
    6.252505010    7.168631301    7.168645997    7.168633737
    6.312625251    6.141337750    6.141348399    6.141341641
