# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.426853707    9.521291108    9.521293804    9.521290886
    3.486973948    9.397847459    9.397850102    9.397847219
    3.547094188    9.276246963    9.276249555    9.276246708
    3.607214429    9.156488626    9.156491167    9.156488355
    3.667334669    9.038568847    9.038571339    9.038568561
    3.727454910    8.922481645    8.922484088    8.922481345
    3.787575150    8.808218866    8.808221261    8.808218553
    3.847695391    8.695770381    8.695772729    8.695770055
    3.907815631    8.585124268    8.585126570    8.585123929
    3.967935872    8.476266983    8.476269239    8.476266632
    4.028056112    8.369183523    8.369185735    8.369183161
    4.088176353    8.263857575    8.263859744    8.263857202
    4.148296593    8.160271656    8.160273783    8.160271272
    4.208416834    8.058407241    8.058409326    8.058406847
    4.268537074    7.958244886    7.958246930    7.958244482
    4.328657315    7.859764339    7.859766343    7.859763925
    4.388777555    7.762944643    7.762946608    7.762944220
    4.448897796    7.667764235    7.667766161    7.667763804
    4.509018036    7.574201031    7.574202920    7.574200591
    4.569138277    7.482232511    7.482234363    7.482232063
    4.629258517    7.391835793    7.391837609    7.391835336
    4.689378758    7.302987701    7.302989482    7.302987237
    4.749498998    7.215664834    7.215666580    7.215664362
    4.809619238    7.129843617    7.129845330    7.129843138
    4.869739479    7.045500363    7.045502043    7.045499877
    4.929859719    6.962611316    6.962612963    6.962610823
    4.989979960    6.881152697    6.881154313    6.881152198
    5.050100200    6.801100747    6.801102332    6.801100241
    5.110220441    6.722431762    6.722433316    6.722431250
    5.170340681    6.645122126    6.645123651    6.645121608
    5.230460922    6.569148346    6.569149841    6.569147822
    5.290581162    6.494487072    6.494488539    6.494486542
    5.350701403    6.421115128    6.421116568    6.421114594
    5.410821643    6.349009533    6.349010946    6.349008993
    5.470941884    6.278147518    6.278148905    6.278146973
    5.531062124    6.208506546    6.208507907    6.208505996
    5.591182365    6.140064327    6.140065662    6.140063771
    5.651302605    6.072798830    6.072800141    6.072798270
    5.711422846    6.006688299    6.006689586    6.006687735
    5.771543086    5.941711261    5.941712524    5.941710692
    5.831663327    5.877846533    5.877847773    5.877845960
    5.891783567    5.815073233    5.815074450    5.815072655
    5.951903808    5.753370785    5.753371980    5.753370204
    6.012024048    5.692718925    5.692720098    5.692718339
    6.072144289    5.633097702    5.633098854    5.633097113
    6.132264529    5.574487487    5.574488619    5.574486894
    6.192384770    5.516868972    5.516870083    5.516868375
    6.252505010    5.460223168    5.460224260    5.460222568
    6.312625251    5.404531416    5.404532488    5.404530812
    6.372745491    5.349775375    5.349776429    5.349774768
    6.432865731    5.295937034    5.295938068    5.295936423
    6.492985972    5.242998699    5.242999716    5.242998086
    6.553106212    5.190943003    5.190944002    5.190942386
    6.613226453    5.139752896    5.139753877    5.139752276
    6.673346693    5.089411646    5.089412610    5.089411023
    6.733466934    5.039902837    5.039903785    5.039902211
    6.793587174    4.991210365    4.991211297    4.991209736
    6.853707415    4.943318436    4.943319352    4.943317805
    6.913827655    4.896211562    4.896212462    4.896210928
    6.973947896    4.849874557    4.849875442    4.849873921
    7.034068136    4.804292534    4.804293405    4.804291895
    7.094188377    4.759450902    4.759451757    4.759450260
    7.154308617    4.715335358    4.715336199    4.715334714
    7.214428858    4.671931888    4.671932715    4.671931242
    7.274549098    4.629226760    4.629227573    4.629226111
    7.334669339    4.587206519    4.587207319    4.587205868
    7.394789579    4.545857984    4.545858771    4.545857332
    7.454909820    4.505168244    4.505169019    4.505167590
    7.515030060    4.465124652    4.465125414    4.465123995
    7.575150301    4.425714820    4.425715569    4.425714161
    7.635270541    4.386926615    4.386927352    4.386925955
    7.695390782    4.348748157    4.348748883    4.348747495
    7.755511022    4.311167811    4.311168525    4.311167147
    7.815631263    4.274174183    4.274174886    4.274173517
    7.875751503    4.237756117    4.237756808    4.237755449
    7.935871743    4.201902689    4.201903369    4.201902019
    7.995991984    4.166603202    4.166603871    4.166602531
    8.056112224    4.131847184    4.131847844    4.131846512
    8.116232465    4.097624383    4.097625032    4.097623709
    8.176352705    4.063924758    4.063925397    4.063924083
    8.236472946    4.030738482    4.030739111    4.030737806
    8.296593186    3.998055933    3.998056552    3.998055255
    8.356713427    3.965867688    3.965868298    3.965867009
    8.416833667    3.934164527    3.934165127    3.934163846
