# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.727454910    9.129928083    9.129929617    9.129935062
    3.787575150    9.009059777    9.009061309    9.009066750
    3.847695391    8.890227103    8.890228634    8.890234071
    3.907815631    8.773411127    8.773412657    8.773418091
    3.967935872    8.658591430    8.658592958    8.658598388
    4.028056112    8.545746273    8.545747799    8.545753225
    4.088176353    8.434852759    8.434854283    8.434859706
    4.148296593    8.325886975    8.325888498    8.325893917
    4.208416834    8.218824128    8.218825649    8.218831064
    4.268537074    8.113638667    8.113640186    8.113645597
    4.328657315    8.010304397    8.010305914    8.010311321
    4.388777555    7.908794585    7.908796101    7.908801504
    4.448897796    7.809082057    7.809083571    7.809088970
    4.509018036    7.711139284    7.711140797    7.711146191
    4.569138277    7.614938465    7.614939976    7.614945366
    4.629258517    7.520451600    7.520453109    7.520458495
    4.689378758    7.427650557    7.427652065    7.427657446
    4.749498998    7.336507136    7.336508642    7.336514019
    4.809619238    7.246993122    7.246994626    7.246999999
    4.869739479    7.159080336    7.159081839    7.159087208
    4.929859719    7.072740685    7.072742186    7.072747550
    4.989979960    6.987946197    6.987947696    6.987953056
    5.050100200    6.904669063    6.904670561    6.904675916
    5.110220441    6.822881669    6.822883165    6.822888516
    5.170340681    6.742556627    6.742558121    6.742563467
    5.230460922    6.663666799    6.663668292    6.663673633
    5.290581162    6.586185324    6.586186815    6.586192152
    5.350701403    6.510085637    6.510087126    6.510092458
    5.410821643    6.435341488    6.435342975    6.435348302
    5.470941884    6.361926956    6.361928442    6.361933764
    5.531062124    6.289816469    6.289817953    6.289823270
    5.591182365    6.218984807    6.218986289    6.218991602
    5.651302605    6.149407121    6.149408601    6.149413908
    5.711422846    6.081058933    6.081060412    6.081065714
    5.771543086    6.013916152    6.013917629    6.013922926
    5.831663327    5.947955072    5.947956547    5.947961839
    5.891783567    5.883152378    5.883153852    5.883159138
    5.951903808    5.819485153    5.819486625    5.819491906
    6.012024048    5.756930876    5.756932347    5.756937623
    6.072144289    5.695467426    5.695468894    5.695474165
    6.132264529    5.635073077    5.635074544    5.635079809
    6.192384770    5.575726506    5.575727971    5.575733231
    6.252505010    5.517406785    5.517408248    5.517413503
    6.312625251    5.460093382    5.460094843    5.460100092
    6.372745491    5.403766156    5.403767616    5.403772859
    6.432865731    5.348405360    5.348406818    5.348412056
    6.492985972    5.293991632    5.293993088    5.293998320
    6.553106212    5.240505992    5.240507446    5.240512673
    6.613226453    5.187929841    5.187931293    5.187936514
    6.673346693    5.136244953    5.136246404    5.136251619
    6.733466934    5.085433475    5.085434923    5.085440133
    6.793587174    5.035477916    5.035479363    5.035484566
    6.853707415    4.986361147    4.986362591    4.986367789
    6.913827655    4.938066393    4.938067836    4.938073027
    6.973947896    4.890577228    4.890578670    4.890583855
    7.034068136    4.843877573    4.843879012    4.843884192
    7.094188377    4.797951683    4.797953121    4.797958295
    7.154308617    4.752784149    4.752785584    4.752790752
    7.214428858    4.708359886    4.708361319    4.708366481
    7.274549098    4.664664131    4.664665563    4.664670719
    7.334669339    4.621682439    4.621683868    4.621689018
    7.394789579    4.579400669    4.579402097    4.579407240
    7.454909820    4.537804987    4.537806413    4.537811550
    7.515030060    4.496881857    4.496883281    4.496888411
    7.575150301    4.456618031    4.456619454    4.456624578
    7.635270541    4.417000552    4.417001972    4.417007090
    7.695390782    4.378016739    4.378018157    4.378023269
    7.755511022    4.339654188    4.339655604    4.339660709
