# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.645290581   36.455435440   36.455432129   36.455439168
    2.705410822   34.585098179   34.585101556   34.585089509
    2.765531062   24.686329045   24.686336581   24.686315307
    2.825651303   16.164056075   16.164060806   16.164047969
    2.885771543   12.152588173   12.152590823   12.152584077
    2.945891784   10.843205710   10.843207520   10.843203513
    3.006012024   11.228856461   11.228858136   11.228855156
    3.066132265   13.197314517   13.197316660   13.197313583
    3.126252505   17.414550610   17.414554130   17.414549630
    3.186372745   25.520487944   25.520493839   25.520486852
    3.246492986   38.196515004   38.196518504   38.196518051
    3.306613226   52.303087117   52.303084589   52.303098467
    3.366733467   73.843460063   73.843462063   73.843468296
    3.426853707   91.626405475   91.626408435   91.626398586
    3.486973948   92.255155881   92.255156752   92.255147168
    3.547094188   76.981725408   76.981725577   76.981720768
    3.607214429   70.958515917   70.958519096   70.958514001
    3.667334669   68.939043815   68.939042951   68.939042592
    3.727454910   47.637083174   47.637078887   47.637081560
    3.787575150   29.048784729   29.048782269   29.048783708
    3.847695391   19.379114551   19.379113536   19.379113986
    3.907815631   14.795128942   14.795128687   14.795128765
    3.967935872   12.327571216   12.327570824   12.327571968
    4.028056112    9.992667652    9.992667166    9.992668560
    4.088176353    8.237839102    8.237838849    8.237839596
    4.148296593    7.365621114    7.365621001    7.365621409
    4.208416834    7.342587455    7.342587480    7.342587663
    4.268537074    8.081328196    8.081328548    8.081328265
    4.328657315    9.828044574    9.828045606    9.828044664
    4.388777555   13.457981454   13.457982489   13.457982051
    4.448897796   17.471874660   17.471871825   17.471877080
    4.509018036   19.745300178   19.745296612   19.745302319
    4.569138277   18.190242367   18.190240821   18.190242560
    4.629258517   15.784084620   15.784083061   15.784085679
    4.689378758   16.897180575   16.897178046   16.897182913
    4.749498998   18.933891391   18.933890741   18.933890704
    4.809619238   17.244657020   17.244658332   17.244653850
    4.869739479   15.885457011   15.885458050   15.885454899
    4.929859719   13.931382324   13.931381988   13.931383050
    4.989979960   12.081597983   12.081597183   12.081599626
    5.050100200   10.684930028   10.684929936   10.684930481
    5.110220441    9.976411513    9.976411558    9.976411425
    5.170340681   11.589767558   11.589767415   11.589767408
    5.230460922   16.441080474   16.441080105   16.441080345
    5.290581162   22.286043532   22.286043192   22.286044161
    5.350701403   23.620287763   23.620287847   23.620288793
    5.410821643   22.860220248   22.860221176   22.860220058
    5.470941884   19.535859088   19.535860599   19.535857524
    5.531062124   15.408477035   15.408477808   15.408476356
    5.591182365   13.208945075   13.208945521   13.208944581
    5.651302605   13.252786251   13.252786591   13.252785683
    5.711422846   13.439368949   13.439369441   13.439369164
    5.771543086   12.148839826   12.148839565   12.148839673
    5.831663327    9.614658481    9.614658256    9.614657586
    5.891783567    8.951422231    8.951422082    8.951421559
    5.951903808    9.621047498    9.621046821    9.621048052
    6.012024048    9.381703864    9.381703682    9.381705399
    6.072144289    8.986426085    8.986426679    8.986427025
    6.132264529    9.089330273    9.089330678    9.089330354
    6.192384770    7.243371766    7.243371705    7.243371415
    6.252505010    5.363960299    5.363960138    5.363959908
    6.312625251    4.780254056    4.780253801    4.780253555
    6.372745491    4.765251322    4.765251332    4.765251217
    6.432865731    3.833716111    3.833716346    3.833716645
    6.492985972    2.751924057    2.751924201    2.751924449
    6.553106212    2.158466253    2.158466333    2.158466443
    6.613226453    1.914467309    1.914467364    1.914467382
    6.673346693    1.932443318    1.932443369    1.932443293
    6.733466934    2.269327657    2.269327723    2.269327497
    6.793587174    3.025841231    3.025841336    3.025840966
    6.853707415    3.645596633    3.645596751    3.645596720
    6.913827655    3.122750191    3.122750222    3.122750757
    6.973947896    2.308098454    2.308098435    2.308098933
    7.034068136    1.981228515    1.981228448    1.981228937
    7.094188377    2.117755340    2.117755189    2.117755890
    7.154308617    2.721290522    2.721290327    2.721291168
    7.214428858    3.500941649    3.500941702    3.500941744
    7.274549098    3.552615599    3.552616010    3.552614945
    7.334669339    3.102674457    3.102674578    3.102674267
    7.394789579    2.551158658    2.551158395    2.551159030
    7.454909820    2.444603954    2.444603515    2.444604663
    7.515030060    2.878191677    2.878191282    2.878192382
    7.575150301    2.906450553    2.906450971    2.906450028
    7.635270541    2.378871724    2.378872254    2.378871014
    7.695390782    2.118553248    2.118553656    2.118552737
    7.755511022    2.173146191    2.173146389    2.173145946
    7.815631263    2.154391358    2.154391354    2.154391290
    7.875751503    2.044243703    2.044243744    2.044243571
    7.935871743    2.016199610    2.016199638    2.016199500
    7.995991984    1.841522813    1.841522844    1.841522738
    8.056112224    1.943873071    1.943873179    1.943872966
    8.116232465    2.538314693    2.538314883    2.538314537
    8.176352705    3.269052555    3.269052646    3.269052527
    8.236472946    3.665778873    3.665778918    3.665778914
    8.296593186    3.728465308    3.728465171    3.728465378
    8.356713427    2.985258387    2.985258227    2.985258385
    8.416833667    2.592547113    2.592547089    2.592547021
    8.476953908    2.458998985    2.458998905    2.458999014
    8.537074148    2.281019966    2.281019818    2.281020171
    8.597194389    2.125188154    2.125188104    2.125188220
    8.657314629    1.802135930    1.802135838    1.802135961
    8.717434870    1.595847592    1.595847477    1.595847678
    8.777555110    1.504716522    1.504716436    1.504716607
    8.837675351    1.545098945    1.545098856    1.545098946
    8.897795591    1.520226097    1.520226003    1.520226134
    8.957915832    1.231840324    1.231840251    1.231840428
    9.018036072    1.052080352    1.052080305    1.052080408
    9.078156313    1.102636068    1.102636030    1.102636068
    9.138276553    1.418036190    1.418036150    1.418036126
    9.198396794    1.946992011    1.946992015    1.946991923
    9.258517034    2.184995874    2.184995949    2.184995861
    9.318637275    2.100433465    2.100433540    2.100433443
    9.378757515    2.087471156    2.087471123    2.087471090
    9.438877756    2.249000261    2.249000158    2.249000270
    9.498997996    2.320332984    2.320332888    2.320333257
    9.559118236    2.000497601    2.000497517    2.000497824
