# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    8.176352705   -2.831836796   -2.831835289   -2.831828483
    8.236472946   -3.295483239   -3.295481722   -3.295475005
    8.296593186   -4.156676845   -4.156675374   -4.156668643
    8.356713427   -4.556627501   -4.556625793   -4.556619366
    8.416833667   -4.356046114   -4.356044421   -4.356037867
    8.476953908   -4.288023544   -4.288021930   -4.288015139
    8.537074148   -4.261001352   -4.260999627   -4.260993100
    8.597194389   -4.274447180   -4.274445442   -4.274439017
    8.657314629   -4.214733453   -4.214731753   -4.214725205
    8.717434870   -3.972980774   -3.972979020   -3.972972504
    8.777555110   -3.739083205   -3.739081431   -3.739074999
    8.837675351   -3.556072365   -3.556070589   -3.556064133
    8.897795591   -3.598578126   -3.598576321   -3.598569795
    8.957915832   -3.501948600   -3.501946767   -3.501940325
    9.018036072   -3.137870686   -3.137868848   -3.137862453
    9.078156313   -2.703442799   -2.703440965   -2.703434560
    9.138276553   -2.330113926   -2.330112076   -2.330105647
    9.198396794   -2.302407301   -2.302405410   -2.302398915
    9.258517034   -2.650587207   -2.650585370   -2.650578773
    9.318637275   -2.852920855   -2.852919103   -2.852912439
    9.378757515   -2.857340377   -2.857338682   -2.857331885
    9.438877756   -2.937194586   -2.937192800   -2.937185936
    9.498997996   -3.325196393   -3.325194573   -3.325187794
    9.559118236   -3.706944776   -3.706942887   -3.706936404
    9.619238477   -3.761340746   -3.761338828   -3.761332396
    9.679358717   -3.628521505   -3.628519609   -3.628513110
    9.739478958   -3.380011598   -3.380009735   -3.380003153
    9.799599198   -3.194317234   -3.194315354   -3.194308794
    9.859719439   -3.206179490   -3.206177619   -3.206170999
    9.919839679   -3.126504861   -3.126503006   -3.126496301
    9.979959920   -2.920310390   -2.920308536   -2.920301801
   10.040080160   -2.700915627   -2.700913770   -2.700907021
   10.100200401   -2.493397416   -2.493395555   -2.493388795
   10.160320641   -2.294744898   -2.294743033   -2.294736259
   10.220440882   -2.111609444   -2.111607577   -2.111600788
   10.280561122   -1.990188352   -1.990186479   -1.990179685
   10.340681363   -1.956212302   -1.956210429   -1.956203614
   10.400801603   -1.847954971   -1.847953099   -1.847946254
   10.460921844   -1.667557434   -1.667555557   -1.667548700
   10.521042084   -1.505057071   -1.505055177   -1.505048325
   10.581162325   -1.486388396   -1.486386457   -1.486379675
   10.641282565   -1.478081153   -1.478079236   -1.478072402
   10.701402806   -1.318360181   -1.318358250   -1.318351431
   10.761523046   -1.305732808   -1.305730778   -1.305724093
   10.821643287   -1.700914461   -1.700912419   -1.700905664
   10.881763527   -2.203751604   -2.203749707   -2.203742689
   10.941883768   -2.347068272   -2.347066387   -2.347059347
   11.002004008   -2.158610744   -2.158608856   -2.158601800
   11.062124248   -1.979174445   -1.979172611   -1.979165451
   11.122244489   -1.997915028   -1.997913238   -1.997906003
   11.182364729   -2.039677340   -2.039675461   -2.039668345
   11.242484970   -1.917423738   -1.917421813   -1.917414739
   11.302605210   -1.745239382   -1.745237444   -1.745230366
   11.362725451   -1.609881105   -1.609879128   -1.609872088
   11.422845691   -1.686257835   -1.686255775   -1.686248847
   11.482965932   -1.877730658   -1.877728650   -1.877721611
   11.543086172   -1.839593072   -1.839591109   -1.839583955
   11.603206413   -1.733610367   -1.733608369   -1.733601195
   11.663326653   -1.744201370   -1.744199315   -1.744192189
   11.723446894   -1.761063554   -1.761061564   -1.761054362
   11.783567134   -1.682241308   -1.682239346   -1.682232098
   11.843687375   -1.590316378   -1.590314388   -1.590307165
   11.903807615   -1.539154878   -1.539152868   -1.539145647
   11.963927856   -1.471197485   -1.471195487   -1.471188204
   12.024048096   -1.413711753   -1.413709757   -1.413702438
   12.084168337   -1.339654661   -1.339652661   -1.339645322
   12.144288577   -1.260592833   -1.260590809   -1.260583488
   12.204408818   -1.264545064   -1.264543025   -1.264535713
   12.264529058   -1.293684865   -1.293682832   -1.293675499
   12.324649299   -1.297543710   -1.297541690   -1.297534300
   12.384769539   -1.298175544   -1.298173521   -1.298166112
   12.444889780   -1.300400691   -1.300398659   -1.300391223
   12.505010020   -1.234085744   -1.234083722   -1.234076214
   12.565130261   -1.199872249   -1.199870237   -1.199862665
   12.625250501   -1.200079830   -1.200077781   -1.200070234
   12.685370741   -1.224187803   -1.224185740   -1.224178170
   12.745490982   -1.208189840   -1.208187753   -1.208180217
   12.805611222   -1.121791207   -1.121789115   -1.121781554
   12.865731463   -1.026853178   -1.026851095   -1.026843487
   12.925851703   -0.989432164   -0.989430108   -0.989422423
   12.985971944   -1.000397229   -1.000395148   -1.000387469
   13.046092184   -0.965833377   -0.965831266   -0.965823601
   13.106212425   -0.925217591   -0.925215463   -0.925207808
   13.166332665   -0.940057569   -0.940055447   -0.940047744
   13.226452906   -0.932496783   -0.932494681   -0.932486876
   13.286573146   -0.910057102   -0.910054973   -0.910047186
   13.346693387   -0.897310408   -0.897308251   -0.897300474
   13.406813627   -0.879025699   -0.879023554   -0.879015729
   13.466933868   -0.866803254   -0.866801107   -0.866793246
   13.527054108   -0.839854120   -0.839851962   -0.839844072
   13.587174349   -0.809381017   -0.809378856   -0.809370936
   13.647294589   -0.820976144   -0.820973980   -0.820966035
   13.707414830   -0.846647105   -0.846644914   -0.846636973
   13.767535070   -0.826443571   -0.826441376   -0.826433392
   13.827655311   -0.771677902   -0.771675701   -0.771667688
   13.887775551   -0.704351492   -0.704349282   -0.704341248
   13.947895792   -0.647855434   -0.647853221   -0.647845156
   14.008016032   -0.614239128   -0.614236915   -0.614228802
   14.068136273   -0.607863382   -0.607861166   -0.607853018
   14.128256513   -0.569274838   -0.569272607   -0.569264445
   14.188376754   -0.512573609   -0.512571366   -0.512563179
   14.248496994   -0.462175580   -0.462173315   -0.462165119
   14.308617234   -0.434388471   -0.434386190   -0.434377971
   14.368737475   -0.432379207   -0.432376926   -0.432368659
   14.428857715   -0.419467835   -0.419465548   -0.419457264
   14.488977956   -0.388790110   -0.388787807   -0.388779485
