# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    3.426853707    3.454164916    3.454164902    1.324348757
    3.446893788    3.331849875    3.331849867    1.332292614
    3.466933868    3.230880848    3.230880846    1.359151963
    3.486973948    3.166752113    3.166752119    1.382186141
    3.507014028    3.153913352    3.153913365    1.386551701
    3.527054108    3.180344501    3.180344523    1.369483453
    3.547094188    3.205857351    3.205857381    1.340619360
    3.567134269    3.204921505    3.204921544    1.319125658
    3.587174349    3.196529425    3.196529474    1.328618772
    3.607214429    3.215611989    3.215612049    1.379521652
    3.627254509    3.281439630    3.281439696    1.455222435
    3.647294589    3.395178830    3.395178896    1.525527162
    3.667334669    3.522626819    3.522626879    1.575739179
    3.687374749    3.581286910    3.581286960    1.615421698
    3.707414830    3.515571489    3.515571525    1.653111053
    3.727454910    3.384923305    3.384923329    1.673522909
    3.747494990    3.291189043    3.291189057    1.660515122
    3.767535070    3.263359116    3.263359127    1.622847134
    3.787575150    3.244018269    3.244018283    1.584179786
    3.807615230    3.158719933    3.158719951    1.566225203
    3.827655311    3.000425042    3.000425063    1.573414860
    3.847695391    2.828549986    2.828550004    1.593210613
    3.867735471    2.701767004    2.701767016    1.612181256
    3.887775551    2.634098687    2.634098693    1.624351594
    3.907815631    2.609080212    2.609080215    1.628486161
    3.927855711    2.621149187    2.621149190    1.623138842
    3.947895792    2.679502862    2.679502868    1.611514608
    3.967935872    2.768916456    2.768916465    1.599556897
    3.987975952    2.833394097    2.833394108    1.585942084
    4.008016032    2.816199921    2.816199932    1.565847941
    4.028056112    2.719248066    2.719248075    1.547014618
    4.048096192    2.592158897    2.592158906    1.542383086
    4.068136273    2.469662897    2.469662904    1.547964041
    4.088176353    2.353563421    2.353563426    1.547338916
    4.108216433    2.230126071    2.230126073    1.532319804
    4.128256513    2.096419064    2.096419063    1.508758835
    4.148296593    1.970682735    1.970682731    1.486021904
    4.168336673    1.874491994    1.874491987    1.467206939
    4.188376754    1.827334915    1.827334906    1.446017478
    4.208416834    1.846901139    1.846901127    1.404475369
    4.228456914    1.941857026    1.941857011    1.325618607
    4.248496994    2.104509733    2.104509716    1.220793180
    4.268537074    2.307792186    2.307792168    1.120809819
    4.288577154    2.516612465    2.516612450    1.043622202
    4.308617234    2.714041571    2.714041558    0.987797983
    4.328657315    2.905291768    2.905291756    0.945504545
    4.348697395    3.099527527    3.099527512    0.911340353
    4.368737475    3.299748833    3.299748814    0.885232827
    4.388777555    3.493119602    3.493119581    0.872270584
    4.408817635    3.663443662    3.663443641    0.876111552
    4.428857715    3.796601197    3.796601181    0.892214550
    4.448897796    3.862275150    3.862275140    0.910538646
    4.468937876    3.836141372    3.836141373    0.923433217
    4.488977956    3.737597677    3.737597693    0.931187027
    4.509018036    3.597324890    3.597324920    0.942286419
    4.529058116    3.425145259    3.425145300    0.965911213
    4.549098196    3.238323831    3.238323880    1.006509445
    4.569138277    3.074171484    3.074171537    1.066204359
    4.589178357    2.959712531    2.959712587    1.144324954
    4.609218437    2.886619374    2.886619433    1.237052752
    4.629258517    2.834740987    2.834741046    1.342345613
    4.649298597    2.801646315    2.801646372    1.455602650
    4.669338677    2.780941786    2.780941840    1.564802488
    4.689378758    2.746110263    2.746110316    1.656301250
    4.709418838    2.695068822    2.695068873    1.724601214
    4.729458918    2.661528486    2.661528535    1.774755185
    4.749498998    2.671504372    2.671504420    1.806103784
    4.769539078    2.726692353    2.726692403    1.816797428
    4.789579158    2.809863890    2.809863941    1.823741574
    4.809619238    2.885818531    2.885818579    1.844518297
    4.829659319    2.918599045    2.918599082    1.873811536
    4.849699399    2.900960885    2.900960907    1.897344215
    4.869739479    2.855327615    2.855327628    1.912965032
    4.889779559    2.809643907    2.809643918    1.925338574
    4.909819639    2.777090775    2.777090786    1.940245421
    4.929859719    2.758561879    2.758561889    1.970029596
    4.949899800    2.743974342    2.743974351    2.027291686
    4.969939880    2.704992848    2.704992857    2.121571487
    4.989979960    2.620674124    2.620674133    2.253970550
    5.010020040    2.508007919    2.508007928    2.409416823
    5.030060120    2.415779858    2.415779870    2.563188626
    5.050100200    2.389411925    2.389411940    2.689870829
    5.070140281    2.442213869    2.442213886    2.781568346
    5.090180361    2.552027460    2.552027476    2.855922535
    5.110220441    2.684112042    2.684112051    2.936467552
    5.130260521    2.814280800    2.814280800    3.049555025
    5.150300601    2.916643205    2.916643196    3.228137550
    5.170340681    2.959518166    2.959518150    3.481281246
    5.190380762    2.932771763    2.932771742    3.770622270
    5.210420842    2.857147094    2.857147071    4.037071503
    5.230460922    2.769820496    2.769820472    4.236201855
    5.250501002    2.707141734    2.707141711    4.353981571
    5.270541082    2.681265983    2.681265964    4.408828956
    5.290581162    2.664599544    2.664599532    4.439003544
    5.310621242    2.617333239    2.617333234    4.475529536
    5.330661323    2.529420545    2.529420544    4.521942673
    5.350701403    2.420775276    2.420775276    4.561536562
    5.370741483    2.303725435    2.303725435    4.578200702
    5.390781563    2.179333283    2.179333282    4.556467855
    5.410821643    2.058943198    2.058943196    4.496778682
    5.430861723    1.964638166    1.964638161    4.426068061
    5.450901804    1.918656116    1.918656108    4.368238983
    5.470941884    1.927478151    1.927478137    4.334301944
    5.490981964    1.973681143    1.973681121    4.313699322
    5.511022044    2.019847291    2.019847261    4.275741679
    5.531062124    2.027023524    2.027023489    4.218542220
    5.551102204    1.983639383    1.983639347    4.176407714
    5.571142285    1.921450346    1.921450311    4.176627289
    5.591182365    1.890109013    1.890108981    4.221433749
    5.611222445    1.917645458    1.917645428    4.306570412
    5.631262525    1.999866837    1.999866812    4.422370833
    5.651302605    2.113258296    2.113258276    4.525155438
    5.671342685    2.238056460    2.238056448    4.569810501
    5.691382766    2.361462161    2.361462156    4.557604940
    5.711422846    2.457588180    2.457588180    4.514700070
    5.731462926    2.503522648    2.503522651    4.478351918
    5.751503006    2.512751793    2.512751796    4.487891405
    5.771543086    2.518286321    2.518286322    4.537782669
    5.791583166    2.531000192    2.531000191    4.574720423
    5.811623246    2.534512392    2.534512388    4.545544653
    5.831663327    2.513214476    2.513214469    4.420213788
    5.851703407    2.466823530    2.466823521    4.201982301
    5.871743487    2.406919448    2.406919438    3.935077679
    5.891783567    2.352325783    2.352325773    3.679186929
    5.911823647    2.316213387    2.316213378    3.463951709
    5.931863727    2.298258042    2.298258035    3.297859886
    5.951903808    2.298847992    2.298847986    3.193572560
    5.971943888    2.326739139    2.326739134    3.143674527
    5.991983968    2.383047492    2.383047490    3.108851037
    6.012024048    2.453872298    2.453872299    3.056212414
    6.032064128    2.522248815    2.522248819    2.992140005
    6.052104208    2.565209415    2.565209422    2.935884621
    6.072144289    2.549246538    2.549246546    2.877394368
    6.092184369    2.459654074    2.459654080    2.796388533
    6.112224449    2.323713321    2.323713324    2.694384095
    6.132264529    2.189798375    2.189798376    2.567364245
    6.152304609    2.095066159    2.095066161    2.400934859
    6.172344689    2.056423964    2.056423969    2.212119202
    6.192384770    2.077223910    2.077223921    2.042961167
    6.212424850    2.147167194    2.147167211    1.921859934
    6.232464930    2.237371668    2.237371691    1.848290246
    6.252505010    2.309769979    2.309770007    1.800690546
    6.272545090    2.343234748    2.343234779    1.756924060
    6.292585170    2.346901614    2.346901648    1.708418538
    6.312625251    2.342951810    2.342951842    1.658169314
    6.332665331    2.340049092    2.340049121    1.617037319
    6.352705411    2.328985353    2.328985377    1.594932794
    6.372745491    2.304787837    2.304787854    1.584610681
    6.392785571    2.283572502    2.283572510    1.567727814
    6.412825651    2.282312993    2.282312993    1.540148506
    6.432865731    2.296537125    2.296537118    1.512556497
    6.452905812    2.309660828    2.309660820    1.496404363
    6.472945892    2.306486196    2.306486189    1.493485812
    6.492985972    2.273116718    2.273116714    1.492838147
    6.513026052    2.201337467    2.201337467    1.487818789
    6.533066132    2.098895801    2.098895804    1.481262663
    6.553106212    1.989198616    1.989198623    1.470384004
    6.573146293    1.898753959    1.898753971    1.440268114
    6.593186373    1.841550906    1.841550924    1.378562558
    6.613226453    1.809572751    1.809572774    1.300745718
    6.633266533    1.776557227    1.776557254    1.237983364
    6.653306613    1.722285621    1.722285649    1.205062161
    6.673346693    1.659750804    1.659750833    1.194993167
    6.693386774    1.622091442    1.622091473    1.188111247
    6.713426854    1.624825302    1.624825337    1.164188288
    6.733466934    1.652518578    1.652518619    1.116378933
    6.753507014    1.677257341    1.677257387    1.052115892
    6.773547094    1.681402648    1.681402700    0.985149219
    6.793587174    1.658014504    1.658014559    0.932294893
    6.813627255    1.606159293    1.606159346    0.908709938
    6.833667335    1.532685404    1.532685450    0.922030049
    6.853707415    1.450210197    1.450210232    0.970219224
    6.873747495    1.376050550    1.376050574    1.041356105
    6.893787575    1.328992239    1.328992254    1.116191483
    6.913827655    1.319126873    1.319126882    1.175502046
    6.933867735    1.340997865    1.340997871    1.210538163
    6.953907816    1.375452024    1.375452029    1.227495679
    6.973947896    1.397760743    1.397760750    1.241047119
    6.993987976    1.392241038    1.392241047    1.259010931
    7.014028056    1.367410724    1.367410735    1.272987590
    7.034068136    1.347939775    1.347939789    1.274678172
    7.054108216    1.348091128    1.348091147    1.270596545
    7.074148297    1.362593891    1.362593914    1.267688112
    7.094188377    1.374465379    1.374465404    1.263553020
    7.114228457    1.364495829    1.364495852    1.250641683
    7.134268537    1.330451348    1.330451366    1.219816915
    7.154308617    1.293188984    1.293188995    1.169181160
    7.174348697    1.274374489    1.274374495    1.112219878
    7.194388778    1.279655048    1.279655049    1.067001736
    7.214428858    1.297369308    1.297369304    1.038559727
    7.234468938    1.308056574    1.308056566    1.019819699
    7.254509018    1.303326784    1.303326772    1.003879305
    7.274549098    1.285971172    1.285971153    0.988956556
    7.294589178    1.260476672    1.260476646    0.976586283
    7.314629259    1.234332872    1.234332837    0.966818623
    7.334669339    1.210565997    1.210565955    0.957420309
