# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    3.807615230    0.951931119    0.951931149    3.381221705
    3.827655311    0.899740095    0.899740120    3.388849042
    3.847695391    0.932794861    0.932794881    3.381644158
    3.867735471    1.029363789    1.029363806    3.359897832
    3.887775551    1.143163608    1.143163627    3.329780633
    3.907815631    1.250178267    1.250178290    3.295533297
    3.927855711    1.348416541    1.348416569    3.261491858
    3.947895792    1.420596962    1.420596993    3.233233143
    3.967935872    1.427938877    1.427938907    3.209631292
    3.987975952    1.352825693    1.352825722    3.186104732
    4.008016032    1.235685712    1.235685738    3.166997647
    4.028056112    1.146720954    1.146720979    3.160352112
    4.048096192    1.115653238    1.115653262    3.158065735
    4.068136273    1.125746922    1.125746943    3.143495152
    4.088176353    1.155256207    1.155256227    3.113935312
    4.108216433    1.201687901    1.201687920    3.081298645
    4.128256513    1.282977569    1.282977588    3.055624982
    4.148296593    1.412792342    1.412792362    3.035828214
    4.168336673    1.589830491    1.589830512    3.013380574
    4.188376754    1.805374707    1.805374729    2.978559591
    4.208416834    2.041387795    2.041387819    2.929391323
    4.228456914    2.269647985    2.269648012    2.886509486
    4.248496994    2.457821137    2.457821169    2.880150810
    4.268537074    2.582173069    2.582173106    2.916081859
    4.288577154    2.643694538    2.643694579    2.976752261
    4.308617234    2.664151308    2.664151350    3.045121094
    4.328657315    2.658748720    2.658748762    3.114876596
    4.348697395    2.627717286    2.627717328    3.186931895
    4.368737475    2.559385774    2.559385820    3.264823606
    4.388777555    2.441583573    2.441583626    3.348681967
    4.408817635    2.274515603    2.274515665    3.431609056
    4.428857715    2.057056383    2.057056455    3.505073017
    4.448897796    1.795065145    1.795065226    3.567487025
    4.468937876    1.529203801    1.529203888    3.625515140
    4.488977956    1.304144202    1.304144292    3.689594743
    4.509018036    1.128324032    1.128324120    3.765894042
    4.529058116    1.004128730    1.004128811    3.852145602
    4.549098196    0.947220508    0.947220580    3.942548012
    4.569138277    0.957770218    0.957770281    4.031187178
    4.589178357    1.003988071    1.003988127    4.110912363
    4.609218437    1.051216252    1.051216300    4.177066032
    4.629258517    1.092417410    1.092417449    4.226121801
    4.649298597    1.129288490    1.129288522    4.250975012
    4.669338677    1.148846694    1.148846720    4.247611219
