# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.813063063    1.268206302    1.267245263    1.267641420
    0.818018018    1.267339893    1.266382941    1.266777414
    0.822972973    1.266475221    1.265522342    1.265915136
    0.827927928    1.265612315    1.264663497    1.265054617
    0.832882883    1.264751204    1.263806433    1.264195885
    0.837837838    1.263891915    1.262951180    1.263338968
    0.842792793    1.263034477    1.262097763    1.262483894
    0.847747748    1.262178916    1.261246211    1.261630689
    0.852702703    1.261325258    1.260396548    1.260779379
    0.857657658    1.260473529    1.259548801    1.259929991
    0.862612613    1.259623753    1.258702994    1.259082548
    0.867567568    1.258775955    1.257859151    1.258237074
    0.872522523    1.257930158    1.257017295    1.257393594
    0.877477477    1.257086385    1.256177450    1.256552130
    0.882432432    1.256244658    1.255339637    1.255712703
    0.887387387    1.255404999    1.254503878    1.254875337
    0.892342342    1.254567429    1.253670194    1.254040051
    0.897297297    1.253731969    1.252838605    1.253206866
    0.902252252    1.252898637    1.252009131    1.252375802
    0.907207207    1.252067454    1.251181791    1.251546878
    0.912162162    1.251238438    1.250356604    1.250720112
    0.917117117    1.250411607    1.249533587    1.249895524
    0.922072072    1.249586979    1.248712760    1.249073129
    0.927027027    1.248764571    1.247894137    1.248252946
    0.931981982    1.247944399    1.247077736    1.247434991
    0.936936937    1.247126479    1.246263573    1.246619279
    0.941891892    1.246310827    1.245451663    1.245805827
    0.946846847    1.245497458    1.244642021    1.244994648
    0.951801802    1.244686385    1.243834661    1.244185758
    0.956756757    1.243877624    1.243029597    1.243379170
    0.961711712    1.243071187    1.242226843    1.242574898
    0.966666667    1.242267087    1.241426411    1.241772954
    0.971621622    1.241465337    1.240628314    1.240973351
    0.976576577    1.240665949    1.239832564    1.240176102
    0.981531532    1.239868934    1.239039172    1.239381216
    0.986486486    1.239074304    1.238248150    1.238588707
    0.991441441    1.238282069    1.237459508    1.237798584
    0.996396396    1.237492239    1.236673256    1.237010857
    1.001351351    1.236704824    1.235889404    1.236225537
    1.006306306    1.235919834    1.235107962    1.235442632
    1.011261261    1.235137277    1.234328938    1.234662152
    1.016216216    1.234357163    1.233552341    1.233884105
    1.021171171    1.233579498    1.232778179    1.233108499
    1.026126126    1.232804291    1.232006460    1.232335342
    1.031081081    1.232031550    1.231237192    1.231564642
    1.036036036    1.231261281    1.230470380    1.230796406
    1.040990991    1.230493492    1.229706032    1.230030639
    1.045945946    1.229728187    1.228944154    1.229267349
    1.050900901    1.228965374    1.228184753    1.228506541
    1.055855856    1.228205057    1.227427833    1.227748220
    1.060810811    1.227447242    1.226673400    1.226992393
    1.065765766    1.226691934    1.225921458    1.226239064
    1.070720721    1.225939138    1.225172013    1.225488238
    1.075675676    1.225188857    1.224425068    1.224739918
    1.080630631    1.224441096    1.223680628    1.223994108
    1.085585586    1.223695858    1.222938695    1.223250813
    1.090540541    1.222953146    1.222199275    1.222510036
    1.095495495    1.222212964    1.221462368    1.221771779
    1.100450450    1.221475314    1.220727978    1.221036046
    1.105405405    1.220740198    1.219996108    1.220302838
    1.110360360    1.220007619    1.219266760    1.219572158
    1.115315315    1.219277578    1.218539935    1.218844007
    1.120270270    1.218550078    1.217815635    1.218118388
    1.125225225    1.217825119    1.217093862    1.217395302
    1.130180180    1.217102703    1.216374616    1.216674749
    1.135135135    1.216382829    1.215657899    1.215956731
    1.140090090    1.215665500    1.214943710    1.215241247
    1.145045045    1.214950715    1.214232051    1.214528299
    1.150000000    1.214238473    1.213522921    1.213817887
    1.154954955    1.213528776    1.212816320    1.213110010
    1.159909910    1.212821623    1.212112248    1.212404667
    1.164864865    1.212117012    1.211410704    1.211701859
    1.169819820    1.211414943    1.210711688    1.211001585
    1.174774775    1.210715416    1.210015198    1.210303843
    1.179729730    1.210018428    1.209321233    1.209608632
    1.184684685    1.209323979    1.208629792    1.208915951
    1.189639640    1.208632066    1.207940873    1.208225798
    1.194594595    1.207942689    1.207254474    1.207538171
    1.199549550    1.207255844    1.206570594    1.206853069
    1.204504505    1.206571529    1.205889229    1.206170488
